category,url,image,title,seller,sku,in stock,price,discount,old-price
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40009525,http://192.168.1.146:8000/static/images/products/40009525.jpg,Patanjali Honey 500 gm Bottle,Patanjali,40009525,Yes,135.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40009524,http://192.168.1.146:8000/static/images/products/40009524.jpg,Patanjali Honey 250 gm Bottle,Patanjali,40009524,Yes,70.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/30002418,http://192.168.1.146:8000/static/images/products/30002418.jpg,Patanjali Special Chyawanprash  1 kg Jar,Patanjali,30002418,Yes,250.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/30002414,http://192.168.1.146:8000/static/images/products/30002414.jpg,Patanjali Jam - Mixed Fruit 500 gm Bottle,Patanjali,30002414,Yes,70.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/30002404,http://192.168.1.146:8000/static/images/products/30002404.jpg,Patanjali Badam Pak 500 gm Jar,Patanjali,30002404,Yes,225.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40009523,http://192.168.1.146:8000/static/images/products/40009523.jpg,Patanjali Pachak - Hing Goli 100 gm Bottle,Patanjali,40009523,Yes,50.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40014683,http://192.168.1.146:8000/static/images/products/40014683.jpg,"Sri Sri Ayurveda Amla Candy - Delicious, Healthy and Digestive 400 gm Carton",Sri,40014683,Yes,160.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40014687,http://192.168.1.146:8000/static/images/products/40014687.jpg,Sri Sri Ayurveda Food Supplement - Karela Jamun Juice 500 ml Carton,Sri,40014687,Yes,150.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40014682,http://192.168.1.146:8000/static/images/products/40014682.jpg,Sri Sri Ayurveda Triphala Tablet - Tridosha Balancer 60 pcs Box,Sri,40014682,Yes,80.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40017855,http://192.168.1.146:8000/static/images/products/40017855.jpg,Patanjali Biscuit - Nariyal 100 gm,Patanjali,40017855,Yes,10.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/30002403,http://192.168.1.146:8000/static/images/products/30002403.jpg,Patanjali Amla - Pickle 1 kg Jar,Patanjali,30002403,Yes,95.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40017857,http://192.168.1.146:8000/static/images/products/40017857.jpg,Patanjali Aarogya Biscuits - Multi Grain Supplement 100 gm,Patanjali,40017857,Yes,10.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40014648,http://192.168.1.146:8000/static/images/products/40014648.jpg,Sri Sri Ayurveda Tulasi Arka - Anti Viral 30 ml,Sri,40014648,Yes,80.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40014701,http://192.168.1.146:8000/static/images/products/40014701.jpg,Sri Sri Ayurveda Chyawanprash - Herbal Immunity Booster 250 gm Box,Sri,40014701,Yes,80.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40014685,http://192.168.1.146:8000/static/images/products/40014685.jpg,"Sri Sri Ayurveda Amla Candy - Paan Flavored (Delicious, Healthy and Digestive) 400 gm Carton",Sri,40014685,Yes,160.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40014686,http://192.168.1.146:8000/static/images/products/40014686.jpg,Sri Sri Ayurveda Food Supplement - Aloe Vera Triphala Juice 500 ml Carton,Sri,40014686,Yes,150.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40017849,http://192.168.1.146:8000/static/images/products/40017849.jpg,Patanjali Pachak Chhuhara - Khatta Mitha 100 gm,Patanjali,40017849,Yes,45.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40014678,http://192.168.1.146:8000/static/images/products/40014678.jpg,Sri Sri Ayurveda Oorja Tablet - Energizer 500 mg 60 pcs,Sri,40014678,Yes,145.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40014684,http://192.168.1.146:8000/static/images/products/40014684.jpg,"Sri Sri Ayurveda Amla Candy - Mango Flavored (Delicious, Healthy and Digestive) 400 gm Carton",Sri,40014684,Yes,160.99,0,0
"[""Branded Food"", ""Ayurvedic Food""]",http://192.168.1.146:8000/catalog/product/40009518,http://192.168.1.146:8000/static/images/products/40009518.jpg,Patanjali Tomato - Ketchup 500 gm Bottle,Patanjali,40009518,Yes,70.99,0,0
